Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"TP53","Tumor Protein P53","Protein Coding","P04637","62","GC17M007661","53.0409774780273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","61","GC06P134820","40.5562934875488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"ROS1","ROS Proto-Oncogene 1, Receptor Tyrosine Kinase","Protein Coding","P08922","54","GC06M117287","36.5650863647461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROS1"
"IL6","Interleukin 6","Protein Coding","P05231","60","GC07P022725","31.8563976287842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","59","GC17M043044","31.451530456543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","Q13315","61","GC11P108223","30.8270568847656","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","P01137","61","GC19M041301","29.9899253845215","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","56","GC13P032315","29.916389465332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"SOD2-OT1","SOD2 Overlapping Transcript 1","RNA Gene","","18","GC06M159772","29.313591003418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2-OT1"
"IL1B","Interleukin 1 Beta","Protein Coding","P01584","56","GC02M112829","29.2608222961426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","Q8N726","60","GC09M021967","29.2241687774658","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","34","GC11M001995","29.0451278686523","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"AR","Androgen Receptor","Protein Coding","P10275","60","GC0XP067544","28.2640590667725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"MTOR","Mechanistic Target Of Rapamycin Kinase","Protein Coding","P42345","64","GC01M011106","28.114688873291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTOR"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","61","GC08P127735","28.007884979248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"ESR1","Estrogen Receptor 1","Protein Coding","P03372","62","GC06P151656","27.787483215332","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR1"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","60","GC17P063477","27.7086219787598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","Q16665","57","GC14P061695","27.6803894042969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
