GeneID,padj,pvalue,stat,baseMean,Gene Symbol,Description
2999,3.36E-24,1.41E-28,128.256471,140.93,GZMH,granzyme H
4057,6.10E-24,5.13E-28,125.675059,360.61,LTF,lactotransferrin
115908,2.56E-23,3.41E-27,121.885778,568.59,CTHRC1,collagen triple helix repeat containing 1
145864,2.56E-23,4.30E-27,121.422276,775.46,HAPLN3,hyaluronan and proteoglycan link protein 3
64220,2.16E-22,4.53E-26,116.711801,67.83,STRA6,signaling receptor and transporter of retinol STRA6
2313,1.27E-21,3.21E-25,112.795298,1779.18,FLI1,"Fli-1 proto-oncogene, ETS transcription factor"
286333,1.91E-21,5.62E-25,111.675142,103.48,FAM225A,family with sequence similarity 225 member A
5583,2.08E-21,6.99E-25,111.239839,1622.5,PRKCH,protein kinase C eta
8038,2.30E-21,8.71E-25,110.80116,434.98,ADAM12,ADAM metallopeptidase domain 12
9242,5.82E-20,2.45E-23,104.130488,272.86,MSC,musculin
8942,5.87E-20,2.79E-23,103.870231,341.02,KYNU,kynureninase
3455,5.87E-20,2.96E-23,103.748856,1951.32,IFNAR2,interferon alpha and beta receptor subunit 2
100130776,7.24E-20,3.96E-23,103.167832,188.68,AGAP2-AS1,AGAP2 antisense RNA 1
1071,9.94E-20,5.85E-23,102.38742,120.7,CETP,cholesteryl ester transfer protein
3718,1.54E-19,9.71E-23,101.371805,2240.27,JAK3,Janus kinase 3
440836,2.21E-19,1.49E-22,100.520042,796.79,ODF3B,outer dense fiber of sperm tails 3B
115362,4.05E-19,2.89E-22,99.190988,1786.26,GBP5,guanylate binding protein 5
29887,4.65E-19,3.52E-22,98.797057,627.73,SNX10,sorting nexin 10
971,5.06E-19,4.20E-22,98.441335,462.86,CD72,CD72 molecule
388325,5.06E-19,4.25E-22,98.417705,586.15,SCIMP,SLP adaptor and CSK interacting membrane protein
100128385,7.85E-19,7.26E-22,97.349824,93.65,FAM225B,family with sequence similarity 225 member B
4242,7.85E-19,6.93E-22,97.442843,989.58,MFNG,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
1116,1.25E-18,1.21E-21,96.329073,2046.29,CHI3L1,chitinase 3 like 1
11182,1.34E-18,1.35E-21,96.107531,348.2,SLC2A6,solute carrier family 2 member 6
56265,1.77E-18,1.86E-21,95.463616,1315.57,CPXM1,"carboxypeptidase X, M14 family member 1"
27033,1.97E-18,2.16E-21,95.171499,128.11,ZBTB32,zinc finger and BTB domain containing 32
5341,2.75E-18,3.12E-21,94.435694,2428.39,PLEK,pleckstrin
55303,2.84E-18,3.41E-21,94.252981,1908.03,GIMAP4,"GTPase, IMAP family member 4"
53827,2.84E-18,3.46E-21,94.227716,1556.12,FXYD5,FXYD domain containing ion transport regulator 5
1117,2.91E-18,3.67E-21,94.109448,692.88,CHI3L2,chitinase 3 like 2
11006,3.19E-18,4.29E-21,93.794636,1120.4,LILRB4,leukocyte immunoglobulin like receptor B4
3689,3.19E-18,4.20E-21,93.837694,4905.7,ITGB2,integrin subunit beta 2
433,4.65E-18,6.45E-21,92.980426,61.5,ASGR2,asialoglycoprotein receptor 2
23180,6.73E-18,9.61E-21,92.18234,1753.16,RFTN1,"raftlin, lipid raft linker 1"
63940,7.38E-18,1.09E-20,91.936723,1463.39,GPSM3,G protein signaling modulator 3
170575,7.38E-18,1.12E-20,91.883605,727.89,GIMAP1,"GTPase, IMAP family member 1"
6999,9.80E-18,1.52E-20,91.261199,404.58,TDO2,"tryptophan 2,3-dioxygenase"
3559,1.19E-17,1.90E-20,90.815158,706.07,IL2RA,interleukin 2 receptor subunit alpha
116986,1.81E-17,3.04E-20,89.876908,610.28,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
3500,1.81E-17,3.01E-20,89.90073,151900.69,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker)
2214,2.02E-17,3.48E-20,89.607294,2402.44,FCGR3A,Fc gamma receptor IIIa
643977,2.69E-17,4.75E-20,88.985639,340.62,FLJ32255,uncharacterized LOC643977
3502,4.42E-17,7.99E-20,87.946893,46337.69,IGHG3,immunoglobulin heavy constant gamma 3 (G3m marker)
10750,5.29E-17,9.79E-20,87.540324,261.38,GRAP,GRB2 related adaptor protein
3059,5.42E-17,1.02E-19,87.449972,3873.73,HCLS1,hematopoietic cell-specific Lyn substrate 1
80228,6.15E-17,1.19E-19,87.150463,1483.28,ORAI2,ORAI calcium release-activated calcium modulator 2
3505,9.16E-17,1.81E-19,86.311632,28393.53,IGHGP,immunoglobulin heavy constant gamma P (non-functional)
57214,9.47E-17,1.91E-19,86.203058,756.76,CEMIP,cell migration inducing hyaluronidase 1
10385,9.68E-17,2.03E-19,86.079043,969.48,BTN2A2,butyrophilin subfamily 2 member A2
